,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
37442,37,0.03,-0.44,-0.07,1,-13,-2,19.67,2
37443,37,0.14,-0.34,0.0,4,-10,0,19.74,2
37444,37,0.0,-0.51,-0.14,0,-15,-4,19.61,2
37445,37,0.1,-0.47,-0.2,3,-14,-6,19.74,2
37446,37,-0.07,-0.34,0.0,-2,-10,0,19.8,2
37447,37,0.14,-0.44,-0.07,4,-13,-2,19.61,2
37448,37,0.07,-0.51,-0.07,2,-15,-2,19.54,2
37449,37,0.14,-0.47,-0.03,4,-14,-1,19.8,2
37450,37,0.17,-0.51,-0.1,5,-15,-3,19.67,2
37451,37,0.2,-0.34,-0.07,6,-10,-2,19.8,2
37452,37,0.03,-0.34,-0.03,1,-10,-1,19.74,2
37453,37,0.27,-0.54,0.0,8,-16,0,19.67,2
37454,37,0.07,-0.24,-0.07,2,-7,-2,19.74,2
37455,37,0.03,-0.31,-0.03,1,-9,-1,19.61,2
37456,37,0.03,-0.34,0.0,1,-10,0,19.61,2
37457,37,0.0,-0.44,-0.14,0,-13,-4,19.74,2
37458,37,0.1,-0.34,-0.07,3,-10,-2,19.67,2
37459,37,0.1,-0.37,-0.03,3,-11,-1,19.54,2
37460,37,0.03,-0.44,-0.07,1,-13,-2,19.54,2
37461,37,0.0,-0.24,0.0,0,-7,0,19.87,2
37462,37,0.17,-0.44,-0.07,5,-13,-2,19.61,2
37463,37,0.1,-0.41,-0.03,3,-12,-1,19.61,2
37464,37,0.2,-0.41,-0.03,6,-12,-1,19.61,2
37465,37,0.07,-0.41,-0.14,2,-12,-4,19.8,2
37466,37,0.1,-0.31,-0.07,3,-9,-2,19.87,2
37467,37,0.03,-0.44,0.0,1,-13,0,19.41,2
37468,37,0.17,-0.34,-0.1,5,-10,-3,19.67,2
37469,37,0.24,-0.34,-0.07,7,-10,-2,19.54,2
37470,37,0.1,-0.41,0.0,3,-12,0,19.41,2
37471,37,0.14,-0.37,-0.07,4,-11,-2,19.8,2
37472,37,0.07,-0.27,-0.07,2,-8,-2,19.74,2
37473,37,0.1,-0.41,0.0,3,-12,0,19.54,2
37474,37,0.14,-0.41,-0.03,4,-12,-1,19.54,2
37475,37,0.07,-0.37,-0.07,2,-11,-2,19.67,2
37476,37,0.07,-0.37,-0.1,2,-11,-3,19.41,2
37477,37,0.0,-0.37,-0.1,0,-11,-3,19.74,2
37478,37,0.17,-0.27,-0.03,5,-8,-1,19.54,2
37479,37,-0.07,-0.41,-0.1,-2,-12,-3,19.74,2
37480,37,0.1,-0.34,-0.03,3,-10,-1,19.8,2
